#    L    TT             EE             BB             TE          
   247   0.617706E+01   0.177272E-01   0.135892E-01  -0.113693E+00
   248   0.609109E+01   0.178915E-01   0.136187E-01  -0.116679E+00
   249   0.600347E+01   0.180579E-01   0.136442E-01  -0.119391E+00
   250   0.591430E+01   0.182259E-01   0.136655E-01  -0.121819E+00
   251   0.582365E+01   0.183952E-01   0.136823E-01  -0.123954E+00
   252   0.573161E+01   0.185653E-01   0.136948E-01  -0.125801E+00
   253   0.563830E+01   0.187362E-01   0.137029E-01  -0.127367E+00
   254   0.554379E+01   0.189075E-01   0.137068E-01  -0.128659E+00
   255   0.544821E+01   0.190790E-01   0.137065E-01  -0.129685E+00
   256   0.535163E+01   0.192504E-01   0.137022E-01  -0.130450E+00
   257   0.525415E+01   0.194214E-01   0.136939E-01  -0.130964E+00
   258   0.515589E+01   0.195920E-01   0.136817E-01  -0.131232E+00
   259   0.505692E+01   0.197617E-01   0.136657E-01  -0.131262E+00
   260   0.495736E+01   0.199304E-01   0.136460E-01  -0.131060E+00
   261   0.485729E+01   0.200978E-01   0.136226E-01  -0.130636E+00
   262   0.475682E+01   0.202636E-01   0.135957E-01  -0.129994E+00
   263   0.465605E+01   0.204276E-01   0.135653E-01  -0.129143E+00
   264   0.455506E+01   0.205896E-01   0.135316E-01  -0.128090E+00
   265   0.445396E+01   0.207493E-01   0.134945E-01  -0.126841E+00
   266   0.435285E+01   0.209065E-01   0.134543E-01  -0.125405E+00
   267   0.425183E+01   0.210609E-01   0.134110E-01  -0.123787E+00
   268   0.415098E+01   0.212122E-01   0.133646E-01  -0.121996E+00
   269   0.405041E+01   0.213603E-01   0.133153E-01  -0.120039E+00
   270   0.395022E+01   0.215049E-01   0.132631E-01  -0.117922E+00
   271   0.385051E+01   0.216457E-01   0.132081E-01  -0.115653E+00
   272   0.375136E+01   0.217825E-01   0.131505E-01  -0.113239E+00
   273   0.365289E+01   0.219150E-01   0.130902E-01  -0.110687E+00
   274   0.355518E+01   0.220430E-01   0.130275E-01  -0.108004E+00
   275   0.345834E+01   0.221662E-01   0.129623E-01  -0.105197E+00
   276   0.336246E+01   0.222844E-01   0.128947E-01  -0.102275E+00
   277   0.326764E+01   0.223974E-01   0.128250E-01  -0.992427E-01
   278   0.317398E+01   0.225049E-01   0.127530E-01  -0.961086E-01
   279   0.308158E+01   0.226067E-01   0.126790E-01  -0.928796E-01
   280   0.299052E+01   0.227024E-01   0.126029E-01  -0.895628E-01
   281   0.290092E+01   0.227919E-01   0.125250E-01  -0.861654E-01
   282   0.281287E+01   0.228749E-01   0.124452E-01  -0.826945E-01
   283   0.272646E+01   0.229512E-01   0.123637E-01  -0.791573E-01
   284   0.264179E+01   0.230205E-01   0.122805E-01  -0.755611E-01
   285   0.255897E+01   0.230826E-01   0.121958E-01  -0.719128E-01
   286   0.247809E+01   0.231372E-01   0.121096E-01  -0.682197E-01
   287   0.239924E+01   0.231841E-01   0.120220E-01  -0.644890E-01
   288   0.232252E+01   0.232230E-01   0.119330E-01  -0.607278E-01
   289   0.224804E+01   0.232537E-01   0.118429E-01  -0.569432E-01
   290   0.217589E+01   0.232759E-01   0.117516E-01  -0.531425E-01
   291   0.210616E+01   0.232894E-01   0.116593E-01  -0.493327E-01
   292   0.203896E+01   0.232940E-01   0.115660E-01  -0.455211E-01
   293   0.197438E+01   0.232894E-01   0.114718E-01  -0.417148E-01
   294   0.191252E+01   0.232753E-01   0.113768E-01  -0.379210E-01
   295   0.185348E+01   0.232515E-01   0.112812E-01  -0.341467E-01
   296   0.179735E+01   0.232177E-01   0.111849E-01  -0.303993E-01
   297   0.174424E+01   0.231738E-01   0.110880E-01  -0.266858E-01
