#    L    TT             EE             BB             TE             PP             TP             EP          
   159   0.467870E+04   0.109123E+01   0.254566E-01  -0.458247E+02   0.713457E-07   0.203846E-03  -0.973480E-06
   160   0.470928E+04   0.108155E+01   0.248838E-01  -0.456096E+02   0.709455E-07   0.202097E-03  -0.961884E-06
   161   0.473960E+04   0.107156E+01   0.243228E-01  -0.453690E+02   0.705487E-07   0.200368E-03  -0.950122E-06
   162   0.476966E+04   0.106127E+01   0.237739E-01  -0.451027E+02   0.701551E-07   0.198659E-03  -0.938199E-06
   163   0.479945E+04   0.105071E+01   0.232371E-01  -0.448103E+02   0.697648E-07   0.196969E-03  -0.926119E-06
   164   0.482893E+04   0.103988E+01   0.227126E-01  -0.444919E+02   0.693777E-07   0.195299E-03  -0.913888E-06
   165   0.485812E+04   0.102881E+01   0.222007E-01  -0.441471E+02   0.689938E-07   0.193649E-03  -0.901509E-06
   166   0.488699E+04   0.101751E+01   0.217015E-01  -0.437758E+02   0.686131E-07   0.192017E-03  -0.888988E-06
   167   0.491554E+04   0.100601E+01   0.212153E-01  -0.433779E+02   0.682356E-07   0.190403E-03  -0.876329E-06
   168   0.494375E+04   0.994338E+00   0.207421E-01  -0.429535E+02   0.678612E-07   0.188807E-03  -0.863537E-06
   169   0.497162E+04   0.982511E+00   0.202822E-01  -0.425024E+02   0.674899E-07   0.187229E-03  -0.850617E-06
   170   0.499913E+04   0.970546E+00   0.198358E-01  -0.420246E+02   0.671217E-07   0.185668E-03  -0.837573E-06
   171   0.502628E+04   0.958475E+00   0.194030E-01  -0.415199E+02   0.667565E-07   0.184124E-03  -0.824410E-06
   172   0.505306E+04   0.946319E+00   0.189841E-01  -0.409883E+02   0.663945E-07   0.182596E-03  -0.811133E-06
   173   0.507946E+04   0.934103E+00   0.185791E-01  -0.404298E+02   0.660354E-07   0.181085E-03  -0.797746E-06
   174   0.510546E+04   0.921849E+00   0.181884E-01  -0.398443E+02   0.656793E-07   0.179589E-03  -0.784254E-06
   175   0.513106E+04   0.909596E+00   0.178121E-01  -0.392320E+02   0.653261E-07   0.178109E-03  -0.770661E-06
   176   0.515625E+04   0.897359E+00   0.174502E-01  -0.385929E+02   0.649760E-07   0.176644E-03  -0.756973E-06
   177   0.518102E+04   0.885175E+00   0.171027E-01  -0.379268E+02   0.646287E-07   0.175193E-03  -0.743194E-06
   178   0.520535E+04   0.873068E+00   0.167692E-01  -0.372340E+02   0.642843E-07   0.173758E-03  -0.729327E-06
   179   0.522924E+04   0.861061E+00   0.164496E-01  -0.365142E+02   0.639428E-07   0.172337E-03  -0.715377E-06
   180   0.525269E+04   0.849190E+00   0.161436E-01  -0.357677E+02   0.636040E-07   0.170929E-03  -0.701347E-06
   181   0.527568E+04   0.837486E+00   0.158510E-01  -0.349946E+02   0.632682E-07   0.169536E-03  -0.687243E-06
   182   0.529821E+04   0.825980E+00   0.155714E-01  -0.341950E+02   0.629350E-07   0.168157E-03  -0.673067E-06
