#    L    TT             EE             BB             TE          
   340   0.277533E+04   0.163664E+02   0.363172E-01   0.102530E+03
   341   0.274671E+04   0.165347E+02   0.364435E-01   0.101399E+03
   342   0.271838E+04   0.167014E+02   0.365694E-01   0.100237E+03
   343   0.269037E+04   0.168664E+02   0.366949E-01   0.990439E+02
   344   0.266267E+04   0.170295E+02   0.368201E-01   0.978195E+02
   345   0.263530E+04   0.171908E+02   0.369449E-01   0.965645E+02
   346   0.260824E+04   0.173501E+02   0.370695E-01   0.952789E+02
   347   0.258152E+04   0.175073E+02   0.371937E-01   0.939634E+02
   348   0.255512E+04   0.176623E+02   0.373176E-01   0.926180E+02
   349   0.252908E+04   0.178153E+02   0.374413E-01   0.912450E+02
   350   0.250339E+04   0.179660E+02   0.375647E-01   0.898436E+02
   351   0.247805E+04   0.181145E+02   0.376879E-01   0.884153E+02
   352   0.245309E+04   0.182607E+02   0.378109E-01   0.869609E+02
   353   0.242850E+04   0.184045E+02   0.379337E-01   0.854803E+02
   354   0.240428E+04   0.185460E+02   0.380563E-01   0.839757E+02
   355   0.238046E+04   0.186849E+02   0.381788E-01   0.824464E+02
   356   0.235702E+04   0.188213E+02   0.383012E-01   0.808932E+02
   357   0.233397E+04   0.189551E+02   0.384234E-01   0.793168E+02
   358   0.231132E+04   0.190863E+02   0.385456E-01   0.777180E+02
   359   0.228907E+04   0.192147E+02   0.386676E-01   0.760966E+02
   360   0.226722E+04   0.193402E+02   0.387897E-01   0.744544E+02
   361   0.224577E+04   0.194629E+02   0.389117E-01   0.727901E+02
   362   0.222473E+04   0.195826E+02   0.390337E-01   0.711057E+02
   363   0.220411E+04   0.196993E+02   0.391557E-01   0.694017E+02
   364   0.218390E+04   0.198129E+02   0.392778E-01   0.676788E+02
   365   0.216412E+04   0.199235E+02   0.393999E-01   0.659379E+02
   366   0.214475E+04   0.200309E+02   0.395221E-01   0.641796E+02
   367   0.212581E+04   0.201351E+02   0.396444E-01   0.624048E+02
   368   0.210730E+04   0.202360E+02   0.397668E-01   0.606142E+02
   369   0.208922E+04   0.203338E+02   0.398894E-01   0.588087E+02
   370   0.207157E+04   0.204281E+02   0.400121E-01   0.569888E+02
   371   0.205436E+04   0.205191E+02   0.401350E-01   0.551554E+02
   372   0.203759E+04   0.206066E+02   0.402581E-01   0.533093E+02
   373   0.202125E+04   0.206908E+02   0.403815E-01   0.514513E+02
   374   0.200535E+04   0.207714E+02   0.405051E-01   0.495820E+02
   375   0.198989E+04   0.208486E+02   0.406289E-01   0.477022E+02
   376   0.197486E+04   0.209221E+02   0.407531E-01   0.458127E+02
   377   0.196029E+04   0.209921E+02   0.408776E-01   0.439142E+02
   378   0.194615E+04   0.210583E+02   0.410024E-01   0.420074E+02
   379   0.193246E+04   0.211209E+02   0.411276E-01   0.400932E+02
   380   0.191921E+04   0.211796E+02   0.412531E-01   0.381721E+02
   381   0.190641E+04   0.212347E+02   0.413791E-01   0.362451E+02
   382   0.189405E+04   0.212858E+02   0.415054E-01   0.343127E+02
   383   0.188215E+04   0.213331E+02   0.416322E-01   0.323759E+02
   384   0.187068E+04   0.213766E+02   0.417595E-01   0.304354E+02
   385   0.185965E+04   0.214161E+02   0.418872E-01   0.284922E+02
   386   0.184907E+04   0.214519E+02   0.420154E-01   0.265470E+02
   387   0.183894E+04   0.214838E+02   0.421442E-01   0.246007E+02
   388   0.182924E+04   0.215118E+02   0.422735E-01   0.226541E+02
