#    L    TT             EE             BB             TE          
   245   0.554888E+04   0.203154E+01   0.351589E-01   0.550636E+02
   246   0.553360E+04   0.210297E+01   0.353707E-01   0.567222E+02
   247   0.551775E+04   0.217660E+01   0.355790E-01   0.583743E+02
   248   0.550136E+04   0.225242E+01   0.357835E-01   0.600188E+02
   249   0.548443E+04   0.233045E+01   0.359841E-01   0.616553E+02
   250   0.546696E+04   0.241070E+01   0.361803E-01   0.632830E+02
   251   0.544896E+04   0.249317E+01   0.363720E-01   0.649010E+02
   252   0.543042E+04   0.257788E+01   0.365592E-01   0.665086E+02
   253   0.541134E+04   0.266482E+01   0.367419E-01   0.681050E+02
   254   0.539175E+04   0.275401E+01   0.369203E-01   0.696893E+02
   255   0.537163E+04   0.284544E+01   0.370943E-01   0.712609E+02
   256   0.535099E+04   0.293913E+01   0.372641E-01   0.728189E+02
   257   0.532985E+04   0.303507E+01   0.374297E-01   0.743627E+02
   258   0.530821E+04   0.313325E+01   0.375912E-01   0.758913E+02
   259   0.528608E+04   0.323369E+01   0.377487E-01   0.774051E+02
   260   0.526348E+04   0.333638E+01   0.379022E-01   0.789020E+02
   261   0.524043E+04   0.344133E+01   0.380517E-01   0.803825E+02
   262   0.521693E+04   0.354852E+01   0.381975E-01   0.818454E+02
   263   0.519299E+04   0.365795E+01   0.383395E-01   0.832905E+02
   264   0.516863E+04   0.376963E+01   0.384777E-01   0.847163E+02
   265   0.514385E+04   0.388353E+01   0.386124E-01   0.861237E+02
   266   0.511864E+04   0.399965E+01   0.387434E-01   0.875103E+02
   267   0.509303E+04   0.411796E+01   0.388710E-01   0.888755E+02
   268   0.506702E+04   0.423847E+01   0.389952E-01   0.902200E+02
   269   0.504060E+04   0.436116E+01   0.391160E-01   0.915415E+02
   270   0.501379E+04   0.448601E+01   0.392335E-01   0.928408E+02
   271   0.498660E+04   0.461301E+01   0.393478E-01   0.941157E+02
   272   0.495904E+04   0.474214E+01   0.394590E-01   0.953669E+02
   273   0.493112E+04   0.487337E+01   0.395671E-01   0.965930E+02
   274   0.490284E+04   0.500670E+01   0.396722E-01   0.977946E+02
